"사고다발지FID","사고다발지ID","법정동코드","지점코드","시도시군구명","지점명","발생건수","사상자수","사망자수","중상자수","경상자수","부상신고자수","경도","위도","다발지역폴리곤"
6773133,"2022032","1111017400","11110001  ","서울특별시 종로구1","서울특별시 종로구 창신동(동묘앞역사거리 부근)",5,8,0,6,2,0,127.015663532447,37.572924161122,"{""type"":""Polygon"",""coordinates"":[[[127.01656185,37.57292416],[127.01654459,37.57278526],[127.01649347,37.5726517],[127.01641045,37.5725286],[127.01629874,37.57242071],[127.01616261,37.57233217],[127.0160073,37.57226637],[127.01583879,37.57222585],[127.01566353,37.57221217],[127.01548828,37.57222585],[127.01531976,37.57226637],[127.01516446,37.57233217],[127.01502833,37.57242071],[127.01491661,37.5725286],[127.0148336,37.5726517],[127.01478248,37.57278526],[127.01476522,37.57292416],[127.01478248,37.57306306],[127.0148336,37.57319663],[127.01491661,37.57331972],[127.01502833,37.57342761],[127.01516446,37.57351615],[127.01531976,37.57358195],[127.01548828,37.57362246],[127.01566353,37.57363614],[127.01583879,37.57362246],[127.0160073,37.57358195],[127.01616261,37.57351615],[127.01629874,37.57342761],[127.01641045,37.57331972],[127.01649347,37.57319663],[127.01654459,37.57306306],[127.01656185,37.57292416]]]}"
6773478,"2022032","1111018100","11110002  ","서울특별시 종로구2","서울특별시 종로구 행촌동(사직터널남측 부근)",4,7,1,3,2,1,126.964253668973,37.572521773862,"{""type"":""Polygon"",""coordinates"":[[[126.96515198,37.57252177],[126.96513472,37.57238287],[126.9650836,37.57224931],[126.96500059,37.57212621],[126.96488887,37.57201832],[126.96475275,37.57192977],[126.96459744,37.57186398],[126.96442892,37.57182346],[126.96425367,37.57180978],[126.96407842,37.57182346],[126.9639099,37.57186398],[126.96375459,37.57192977],[126.96361846,37.57201832],[126.96350675,37.57212621],[126.96342373,37.57224931],[126.96337261,37.57238287],[126.96335535,37.57252177],[126.96337261,37.57266068],[126.96342373,37.57279424],[126.96350675,37.57291733],[126.96361846,37.57302522],[126.96375459,37.57311377],[126.9639099,37.57317956],[126.96407842,37.57322008],[126.96425367,37.57323376],[126.96442892,37.57322008],[126.96459744,37.57317956],[126.96475275,37.57311377],[126.96488887,37.57302522],[126.96500059,37.57291733],[126.9650836,37.57279424],[126.96513472,37.57266068],[126.96515198,37.57252177]]]}"
6773488,"2022032","1111016300","11110003  ","서울특별시 종로구3","서울특별시 종로구 종로5가(종로5가사거리 부근)",4,6,1,3,1,1,127.001860152225,37.571064027684,"{""type"":""Polygon"",""coordinates"":[[[127.00275847,37.57106403],[127.00274121,37.57092512],[127.00269009,37.57079156],[127.00260707,37.57066846],[127.00249536,37.57056056],[127.00235923,37.57047202],[127.00220392,37.57040622],[127.0020354,37.5703657],[127.00186015,37.57035202],[127.0016849,37.5703657],[127.00151638,37.57040622],[127.00136107,37.57047202],[127.00122495,37.57056056],[127.00111323,37.57066846],[127.00103022,37.57079156],[127.0009791,37.57092512],[127.00096184,37.57106403],[127.0009791,37.57120293],[127.00103022,37.5713365],[127.00111323,37.57145959],[127.00122495,37.57156749],[127.00136107,37.57165603],[127.00151638,37.57172183],[127.0016849,37.57176235],[127.00186015,37.57177603],[127.0020354,37.57176235],[127.00220392,37.57172183],[127.00235923,37.57165603],[127.00249536,37.57156749],[127.00260707,37.57145959],[127.00269009,37.5713365],[127.00274121,37.57120293],[127.00275847,37.57106403]]]}"
6774060,"2022032","1111016900","11110004  ","서울특별시 종로구4","서울특별시 종로구 혜화동(혜화동로터리 부근)",4,6,0,4,1,1,127.001307419903,37.586024034982,"{""type"":""Polygon"",""coordinates"":[[[127.00220574,37.58602403],[127.00218847,37.58588516],[127.00213736,37.58575162],[127.00205434,37.58562855],[127.00194262,37.58552067],[127.0018065,37.58543214],[127.00165119,37.58536636],[127.00148267,37.58532585],[127.00130742,37.58531217],[127.00113217,37.58532585],[127.00096365,37.58536636],[127.00080834,37.58543214],[127.00067222,37.58552067],[127.0005605,37.58562855],[127.00047748,37.58575162],[127.00042637,37.58588516],[127.0004091,37.58602403],[127.00042637,37.58616291],[127.00047748,37.58629645],[127.0005605,37.58641952],[127.00067222,37.58652739],[127.00080834,37.58661592],[127.00096365,37.5866817],[127.00113217,37.58672221],[127.00130742,37.58673589],[127.00148267,37.58672221],[127.00165119,37.5866817],[127.0018065,37.58661592],[127.00194262,37.58652739],[127.00205434,37.58641952],[127.00213736,37.58629645],[127.00218847,37.58616291],[127.00220574,37.58602403]]]}"
6774068,"2022032","1111017500","11110005  ","서울특별시 종로구5","서울특별시 종로구 숭인동(아람보습학원 부근)",4,4,0,4,0,0,127.017696058727,37.573833829868,"{""type"":""Polygon"",""coordinates"":[[[127.01859437,37.57383383],[127.01857711,37.57369493],[127.01852599,37.57356137],[127.01844298,37.57343828],[127.01833126,37.57333039],[127.01819514,37.57324184],[127.01803983,37.57317605],[127.01787131,37.57313553],[127.01769606,37.57312185],[127.01752081,37.57313553],[127.01735229,37.57317605],[127.01719698,37.57324184],[127.01706085,37.57333039],[127.01694914,37.57343828],[127.01686612,37.57356137],[127.016815,37.57369493],[127.01679774,37.57383383],[127.016815,37.57397273],[127.01686612,37.57410629],[127.01694914,37.57422938],[127.01706085,37.57433727],[127.01719698,37.57442581],[127.01735229,37.57449161],[127.01752081,37.57453212],[127.01769606,37.5745458],[127.01787131,37.57453212],[127.01803983,37.57449161],[127.01819514,37.57442581],[127.01833126,37.57433727],[127.01844298,37.57422938],[127.01852599,37.57410629],[127.01857711,37.57397273],[127.01859437,37.57383383]]]}"
6773930,"2022032","1111011400","11110006  ","서울특별시 종로구6","서울특별시 종로구 내자동(경복궁역사거리 부근)",4,4,0,4,0,0,126.971928504898,37.576161735776,"{""type"":""Polygon"",""coordinates"":[[[126.97282682,37.57616174],[126.97280956,37.57602284],[126.97275844,37.57588928],[126.97267543,37.57576619],[126.97256371,37.57565831],[126.97242758,37.57556977],[126.97227228,37.57550397],[126.97210376,37.57546346],[126.9719285,37.57544978],[126.97175325,37.57546346],[126.97158473,37.57550397],[126.97142943,37.57556977],[126.9712933,37.57565831],[126.97118158,37.57576619],[126.97109857,37.57588928],[126.97104745,37.57602284],[126.97103019,37.57616174],[126.97104745,37.57630063],[126.97109857,37.57643419],[126.97118158,37.57655728],[126.9712933,37.57666516],[126.97142943,37.5767537],[126.97158473,37.57681949],[126.97175325,37.57686001],[126.9719285,37.57687369],[126.97210376,37.57686001],[126.97227228,37.57681949],[126.97242758,37.5767537],[126.97256371,37.57666516],[126.97267543,37.57655728],[126.97275844,37.57643419],[126.97280956,37.57630063],[126.97282682,37.57616174]]]}"
6773817,"2022032","1111012100","11110007  ","서울특별시 종로구7","서울특별시 종로구 신문로2가(정동사거리 부근)",4,4,0,4,0,0,126.969040444562,37.56821694046,"{""type"":""Polygon"",""coordinates"":[[[126.96993876,37.56821694],[126.9699215,37.56807803],[126.96987038,37.56794446],[126.96978737,37.56782136],[126.96967565,37.56771346],[126.96953952,37.56762491],[126.96938421,37.56755911],[126.9692157,37.56751859],[126.96904044,37.56750491],[126.96886519,37.56751859],[126.96869667,37.56755911],[126.96854137,37.56762491],[126.96840524,37.56771346],[126.96829352,37.56782136],[126.96821051,37.56794446],[126.96815939,37.56807803],[126.96814213,37.56821694],[126.96815939,37.56835585],[126.96821051,37.56848942],[126.96829352,37.56861252],[126.96840524,37.56872042],[126.96854137,37.56880897],[126.96869667,37.56887477],[126.96886519,37.56891529],[126.96904044,37.56892897],[126.9692157,37.56891529],[126.96938421,37.56887477],[126.96953952,37.56880897],[126.96967565,37.56872042],[126.96978737,37.56861252],[126.96987038,37.56848942],[126.9699215,37.56835585],[126.96993876,37.56821694]]]}"
6773503,"2022032","1114016500","11140001  ","서울특별시 중구1","서울특별시 중구 황학동(신당중앙시장 부근)",5,6,0,5,1,0,127.01842658522,37.565904951653,"{""type"":""Polygon"",""coordinates"":[[[127.0193249,37.56590495],[127.01930764,37.56576604],[127.01925652,37.56563246],[127.01917351,37.56550936],[127.01906179,37.56540145],[127.01892566,37.5653129],[127.01877036,37.5652471],[127.01860184,37.56520658],[127.01842659,37.5651929],[127.01825133,37.56520658],[127.01808281,37.5652471],[127.01792751,37.5653129],[127.01779138,37.56540145],[127.01767966,37.56550936],[127.01759665,37.56563246],[127.01754553,37.56576604],[127.01752827,37.56590495],[127.01754553,37.56604387],[127.01759665,37.56617744],[127.01767966,37.56630055],[127.01779138,37.56640845],[127.01792751,37.566497],[127.01808281,37.5665628],[127.01825133,37.56660332],[127.01842659,37.566617],[127.01860184,37.56660332],[127.01877036,37.5665628],[127.01892566,37.566497],[127.01906179,37.56640845],[127.01917351,37.56630055],[127.01925652,37.56617744],[127.01930764,37.56604387],[127.0193249,37.56590495]]]}"
6773131,"2022032","1114016300","11140002  ","서울특별시 중구2","서울특별시 중구 흥인동(신당역서울6호선 부근)",5,5,0,5,0,0,127.016158477932,37.566436486955,"{""type"":""Polygon"",""coordinates"":[[[127.01705679,37.56643649],[127.01703953,37.56629757],[127.01698841,37.566164],[127.0169054,37.56604089],[127.01679368,37.56593299],[127.01665756,37.56584444],[127.01650225,37.56577864],[127.01633373,37.56573812],[127.01615848,37.56572444],[127.01598323,37.56573812],[127.01581471,37.56577864],[127.0156594,37.56584444],[127.01552327,37.56593299],[127.01541156,37.56604089],[127.01532854,37.566164],[127.01527742,37.56629757],[127.01526016,37.56643649],[127.01527742,37.5665754],[127.01532854,37.56670897],[127.01541156,37.56683208],[127.01552327,37.56693998],[127.0156594,37.56702853],[127.01581471,37.56709433],[127.01598323,37.56713485],[127.01615848,37.56714853],[127.01633373,37.56713485],[127.01650225,37.56709433],[127.01665756,37.56702853],[127.01679368,37.56693998],[127.0169054,37.56683208],[127.01698841,37.56670897],[127.01703953,37.5665754],[127.01705679,37.56643649]]]}"
6773485,"2022032","1114016500","11140003  ","서울특별시 중구3","서울특별시 중구 황학동(동대문중앙교회앞 부근)",5,5,0,5,0,0,127.020449710887,37.568256692293,"{""type"":""Polygon"",""coordinates"":[[[127.02134803,37.56825669],[127.02133077,37.56811778],[127.02127965,37.56798421],[127.02119663,37.56786111],[127.02108492,37.56775321],[127.02094879,37.56766466],[127.02079348,37.56759886],[127.02062496,37.56755834],[127.02044971,37.56754466],[127.02027446,37.56755834],[127.02010594,37.56759886],[127.01995063,37.56766466],[127.01981451,37.56775321],[127.01970279,37.56786111],[127.01961978,37.56798421],[127.01956866,37.56811778],[127.0195514,37.56825669],[127.01956866,37.5683956],[127.01961978,37.56852917],[127.01970279,37.56865227],[127.01981451,37.56876017],[127.01995063,37.56884872],[127.02010594,37.56891452],[127.02027446,37.56895504],[127.02044971,37.56896872],[127.02062496,37.56895504],[127.02079348,37.56891452],[127.02094879,37.56884872],[127.02108492,37.56876017],[127.02119663,37.56865227],[127.02127965,37.56852917],[127.02133077,37.5683956],[127.02134803,37.56825669]]]}"
