사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2017010100100280,2017년 1월 1일 17시,일요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,23세,상해없음,원동기,남,46세,경상
2017010100100307,2017년 1월 1일 18시,일요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,원동기,남,48세,경상,승용,남,31세,상해없음
2017010100100373,2017년 1월 1일 20시,일요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,여,43세,경상
2017010200100034,2017년 1월 2일 01시,월요일,충청남도 천안시 서북구 백석동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,남,23세,중상
2017010200100183,2017년 1월 2일 11시,월요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,69세,상해없음,승용,여,38세,경상
2017010200100337,2017년 1월 2일 17시,월요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,67세,상해없음,승용,여,58세,경상
2017010200100369,2017년 1월 2일 18시,월요일,충청남도 천안시 서북구 성정동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,승용,남,46세,경상
2017010200100418,2017년 1월 2일 19시,월요일,충청남도 천안시 서북구 성거읍,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,57세,상해없음,승용,남,37세,경상
2017010200100499,2017년 1월 2일 22시,월요일,충청남도 천안시 서북구 성환읍,중상사고,0,1,0,0,차량단독 - 전도전복,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,42세,중상,미분류,미분류,미분류,미분류
2017010300100048,2017년 1월 3일 02시,화요일,충청남도 천안시 서북구 두정동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,승용,남,31세,경상
2017010300100083,2017년 1월 3일 06시,화요일,충청남도 천안시 서북구 성거읍,사망사고,1,0,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,원동기,여,64세,사망,승용,남,34세,상해없음
2017010300100084,2017년 1월 3일 06시,화요일,충청남도 천안시 서북구 성정동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,건조,흐림,교차로 - 교차로안,승용,남,28세,상해없음,승합,남,59세,경상
2017010300100108,2017년 1월 3일 07시,화요일,충청남도 천안시 서북구 성환읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승용,남,30세,경상
2017010300100109,2017년 1월 3일 07시,화요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,승용,여,49세,경상
2017010300100146,2017년 1월 3일 08시,화요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,27세,상해없음,보행자,여,29세,경상
2017010300100502,2017년 1월 3일 20시,화요일,충청남도 천안시 동남구 신부동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,원동기,남,28세,경상
2017010300100529,2017년 1월 3일 21시,화요일,충청남도 천안시 동남구 수신면,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,22세,경상,승용,여,36세,상해없음
2017010400100024,2017년 1월 4일 00시,수요일,충청남도 천안시 서북구 불당동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,43세,기타불명,승용,남,26세,상해없음
2017010400100042,2017년 1월 4일 02시,수요일,충청남도 천안시 동남구 사직동,경상사고,0,0,1,0,차대차 - 정면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,41세,상해없음,승용,남,43세,경상
2017010400100079,2017년 1월 4일 06시,수요일,충청남도 천안시 서북구 성거읍,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,62세,상해없음,농기계,남,68세,경상
2017010400100182,2017년 1월 4일 10시,수요일,충청남도 천안시 동남구 신부동,중상사고,0,2,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,승용,남,72세,경상
2017010400100242,2017년 1월 4일 12시,수요일,충청남도 천안시 동남구 다가동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,자전거,남,9세,경상
