번호,관리기관명(필수),도로명주소(필수),주소(선택),설치목적구분(필수),위도(필수),경도(필수),카메라 대수(필수),카메라화소수(선택),촬영방면정보(선택),보관일수(선택),설치연월(선택),관리기관전화번호(선택),데이터기준일자(필수),관리번호(임의),카메라명(임의),설치목적구분상세(임의),"개소별
대역폭(임의)",통신망(임의)
1,천안시,,충청남도 천안시 동남구 목천읍 용원리 668,,36.757325,127.22657,3,,,,,,,E01P002-10,E01P002-10_1_목천읍 용원리668(예술의전당옆)_PTZ,방범(도시공원),10M,KT
2,천안시,,충청남도 천안시 동남구 목천읍 남화리 283,,36.77629,127.233664,2,,,,,,,E01P009-16,E01P009-16_1_목천읍 남화리283(광복공원)_PTZ,방범(도시공원),10M,KT
3,천안시,,충청남도 천안시 동남구 목천읍 동평리 45-2,,36.776574,127.234096,2,,,,,,,E01P010-16,E01P010-16_1_목천읍 동평리45-2(보은의동산)_PTZ,방범(도시공원),10M,KT
4,천안시,,충청남도 천안시 동남구 목천읍 운전리 343-22,,36.769994,127.233644,2,,,,,,,E01P011-16,E01P011-16_1_목천읍 운전리343-22(목주가공원)_PTZ,방범(도시공원),10M,KT
5,천안시,,충청남도 천안시 동남구 풍세면 보성리 818,,36.724716,127.097876,3,,,,,,,E02P008-19,E02P008-19_1_풍세면 보성리 818(3호공원)_PTZ,방범(도시공원),10M,KT
6,천안시,,충청남도 천안시 동남구 풍세면 보성리 822,,36.720482,127.105039,3,,,,,,,E02P009-19,E02P009-19_1_풍세면 보성리 822(4호공원)_PTZ,방범(도시공원),10M,KT
7,천안시,,충청남도 천안시 동남구 풍세면 용정리 989,,36.733126,127.100254,3,,,,,,,E02P017-19,E02P017-19_1_풍세면 용정리 989(솔모랭이공원6호공원)_PTZ,방범(도시공원),10M,KT
8,천안시,,충청남도 천안시 동남구 풍세면 용정리 1040,,36.72919,127.104369,3,,,,,,,E02P019-19,E02P019-19_1_풍세면 용정리 1040(용두공원5호공원)_PTZ,방범(도시공원),10M,KT
9,천안시,,충청남도 천안시 동남구 풍세면 용정리 970,,36.733667,127.105376,3,,,,,,,E02P021-17,E02P021-17_1_풍세면 용정리970(1호근린공원)_PTZ,방범(도시공원),10M,LG
10,천안시,,충청남도 천안시 동남구 풍세면 보성리 731,,36.724606,127.102635,3,,,,,,,E02P022-17,E02P022-17_1_풍세면 보성리731(2호근린공원)_PTZ,방범(도시공원),10M,LG
11,천안시,,충청남도 천안시 동남구 풍세면 용정리 1017,,36.730767,127.097023,2,,,,,,,E02P023-17,E02P023-17_1_풍세면 용정리1017(7호소공원)_PTZ,방범(도시공원),10M,LG
12,천안시,,충청남도 천안시 동남구 북면 은지리 45-1,,36.778316,127.271811,4,,,,,,,E04P026-17,E04P026-17_1_북면 은지리45-1(박문수테마길입구)_PTZ,방범(도시공원),10M,LG
